Filename;Position Index;X Position;Y Position;Baseline Offset [N];Baseline Slope [N/m];Young's Modulus [Pa];Contact Point [m];Baseline [N];Discontinuity Position;Discontinuity Width [m];Adhesion [N];ResidualRMS [N]
qi-data-2022.04.20-09.44.26.389_0000.jpk-qi-series;0;-1.47656e-05;-1.47656e-05;9.64577e-08;0.00243378;4.57316e+06;-1.98089e-07;4.27168e-10;;0.00000;0.00000;1.20370e-09
qi-data-2022.04.20-09.44.26.389_0001.jpk-qi-series;1;-1.42969e-05;-1.47656e-05;9.85142e-08;0.00304678;4.71056e+06;-1.90359e-07;-6.58588e-10;;0.00000;0.00000;6.95070e-10
qi-data-2022.04.20-09.44.26.389_0002.jpk-qi-series;2;-1.38281e-05;-1.47656e-05;9.89217e-08;0.00293532;4.90721e+06;-1.86839e-07;-7.96585e-10;;0.00000;0.00000;7.97026e-10
qi-data-2022.04.20-09.44.26.389_0003.jpk-qi-series;3;-1.33594e-05;-1.47656e-05;9.92385e-08;0.00286727;4.65619e+06;-1.96700e-07;-9.36602e-10;;0.00000;0.00000;9.16850e-10
qi-data-2022.04.20-09.44.26.389_0004.jpk-qi-series;4;-1.28906e-05;-1.47656e-05;9.87292e-08;0.00295759;2.94479e+06;-1.57470e-07;-6.77492e-10;;0.00000;0.00000;7.12661e-10
qi-data-2022.04.20-09.44.26.389_0005.jpk-qi-series;5;-1.24219e-05;-1.47656e-05;9.85929e-08;0.00295026;4.32640e+06;-1.95542e-07;-6.73164e-10;;0.00000;0.00000;7.68249e-10
qi-data-2022.04.20-09.44.26.389_0006.jpk-qi-series;6;-1.19531e-05;-1.47656e-05;9.92770e-08;0.00278120;3.94327e+06;-2.06331e-07;-8.28557e-10;;0.00000;0.00000;8.58418e-10
qi-data-2022.04.20-09.44.26.389_0007.jpk-qi-series;7;-1.14844e-05;-1.47656e-05;9.80286e-08;0.00307037;3.84156e+06;-1.91314e-07;-4.58568e-10;;0.00000;0.00000;6.39912e-10
qi-data-2022.04.20-09.44.26.389_0008.jpk-qi-series;8;-1.10156e-05;-1.47656e-05;9.77231e-08;0.00311366;5.85136e+06;-2.23536e-07;-4.41659e-10;;0.00000;0.00000;6.04156e-10
qi-data-2022.04.20-09.44.26.389_0009.jpk-qi-series;9;-1.05469e-05;-1.47656e-05;9.79892e-08;0.00305003;1.41206e+07;-2.57210e-07;-5.53597e-10;;0.00000;0.00000;6.86589e-10
qi-data-2022.04.20-09.44.26.389_0010.jpk-qi-series;10;-1.00781e-05;-1.47656e-05;9.79452e-08;0.00302497;7.81034e+06;-2.39251e-07;-4.40212e-10;;0.00000;0.00000;8.39326e-10
qi-data-2022.04.20-09.44.26.389_0011.jpk-qi-series;11;-9.60937e-06;-1.47656e-05;9.80043e-08;0.00299240;1.68542e+06;-9.83433e-08;-5.64991e-10;;0.00000;0.00000;7.68632e-10
qi-data-2022.04.20-09.44.26.389_0012.jpk-qi-series;12;-9.14063e-06;-1.47656e-05;9.80326e-08;0.00299062;1.34957e+06;-5.22553e-08;-5.72398e-10;;0.00000;0.00000;6.93068e-10
qi-data-2022.04.20-09.44.26.389_0013.jpk-qi-series;13;-8.67187e-06;-1.47656e-05;9.82973e-08;0.00290202;1.50105e+06;-4.33709e-08;-6.54194e-10;;0.00000;0.00000;7.60827e-10
qi-data-2022.04.20-09.44.26.389_0014.jpk-qi-series;14;-8.20313e-06;-1.47656e-05;9.80819e-08;0.00297150;1.44863e+06;-2.61556e-08;-6.14802e-10;;0.00000;0.00000;7.21474e-10
qi-data-2022.04.20-09.44.26.389_0015.jpk-qi-series;15;-7.73438e-06;-1.47656e-05;9.80821e-08;0.00298444;1.49503e+06;-3.95401e-08;-6.27396e-10;;0.00000;0.00000;7.34584e-10
qi-data-2022.04.20-09.44.26.389_0016.jpk-qi-series;16;-7.26562e-06;-1.47656e-05;9.77223e-08;0.00304038;1.70595e+06;-6.21159e-08;-5.00848e-10;;0.00000;0.00000;6.68435e-10
qi-data-2022.04.20-09.44.26.389_0017.jpk-qi-series;17;-6.79687e-06;-1.47656e-05;9.79966e-08;0.00292606;1.34520e+06;-3.36367e-08;-5.51655e-10;;0.00000;0.00000;7.41891e-10
qi-data-2022.04.20-09.44.26.389_0018.jpk-qi-series;18;-6.32813e-06;-1.47656e-05;9.77451e-08;0.00301848;1.35712e+06;-1.50568e-08;-4.77491e-10;;0.00000;0.00000;6.91090e-10
qi-data-2022.04.20-09.44.26.389_0019.jpk-qi-series;19;-5.85938e-06;-1.47656e-05;9.81725e-08;0.00289871;1.55846e+06;-4.09067e-08;-6.93080e-10;;0.00000;0.00000;7.80302e-10
qi-data-2022.04.20-09.44.26.389_0020.jpk-qi-series;20;-5.39062e-06;-1.47656e-05;9.80230e-08;0.00292274;1.63565e+06;-5.83280e-08;-6.35410e-10;;0.00000;0.00000;7.49846e-10
qi-data-2022.04.20-09.44.26.389_0021.jpk-qi-series;21;-4.92187e-06;-1.47656e-05;9.76606e-08;0.00301768;2.13990e+06;-1.19001e-07;-4.23851e-10;;0.00000;0.00000;6.62337e-10
qi-data-2022.04.20-09.44.26.389_0022.jpk-qi-series;22;-4.45313e-06;-1.47656e-05;9.76838e-08;0.00301535;4.80806e+06;-2.11205e-07;-5.66980e-10;;0.00000;0.00000;7.17788e-10
qi-data-2022.04.20-09.44.26.389_0023.jpk-qi-series;23;-3.98438e-06;-1.47656e-05;9.77999e-08;0.00295364;6.51448e+06;-2.29284e-07;-5.87779e-10;;0.00000;0.00000;7.14947e-10
qi-data-2022.04.20-09.44.26.389_0024.jpk-qi-series;24;-3.51562e-06;-1.47656e-05;9.79310e-08;0.00294009;1.58135e+06;-1.20275e-07;-6.20032e-10;;0.00000;0.00000;8.05701e-10
qi-data-2022.04.20-09.44.26.389_0025.jpk-qi-series;25;-3.04687e-06;-1.47656e-05;9.73124e-08;0.00307049;1.24951e+06;-4.63302e-08;-4.00245e-10;;0.00000;0.00000;6.60053e-10
qi-data-2022.04.20-09.44.26.389_0026.jpk-qi-series;26;-2.57813e-06;-1.47656e-05;9.79864e-08;0.00292307;1.17645e+06;1.72060e-08;-6.13641e-10;;0.00000;0.00000;7.57699e-10
qi-data-2022.04.20-09.44.26.389_0027.jpk-qi-series;27;-2.10938e-06;-1.47656e-05;9.75994e-08;0.00299654;614138;1.53292e-07;-4.31534e-10;;0.00000;0.00000;6.09307e-10
qi-data-2022.04.20-09.44.26.389_0028.jpk-qi-series;28;-1.64062e-06;-1.47656e-05;9.76739e-08;0.00293646;865448;6.50045e-08;-5.46621e-10;;0.00000;0.00000;7.38860e-10
qi-data-2022.04.20-09.44.26.389_0029.jpk-qi-series;29;-1.17187e-06;-1.47656e-05;9.78969e-08;0.00290561;1.20090e+06;-7.44255e-08;-5.32988e-10;;0.00000;0.00000;8.33875e-10
qi-data-2022.04.20-09.44.26.389_0030.jpk-qi-series;30;-7.03125e-07;-1.47656e-05;9.76747e-08;0.00295567;4.62394e+06;-2.11014e-07;-6.19154e-10;;0.00000;0.00000;7.70993e-10
qi-data-2022.04.20-09.44.26.389_0031.jpk-qi-series;31;-2.34375e-07;-1.47656e-05;9.72525e-08;0.00304193;1.58191e+06;-1.45131e-07;-4.33502e-10;;0.00000;0.00000;7.74749e-10
qi-data-2022.04.20-09.44.26.389_0032.jpk-qi-series;32;2.34375e-07;-1.47656e-05;9.79360e-08;0.00284870;1.02962e+06;-7.79781e-08;-6.15505e-10;;0.00000;0.00000;8.52253e-10
qi-data-2022.04.20-09.44.26.389_0033.jpk-qi-series;33;7.03125e-07;-1.47656e-05;9.75529e-08;0.00296736;2.98515e+08;-3.19244e-07;-4.82069e-10;;0.00000;0.00000;9.01534e-10
qi-data-2022.04.20-09.44.26.389_0034.jpk-qi-series;34;1.17187e-06;-1.47656e-05;9.77991e-08;0.00286143;6.25213e+08;-3.18479e-07;-9.17907e-10;;0.00000;0.00000;8.35191e-10
qi-data-2022.04.20-09.44.26.389_0035.jpk-qi-series;35;1.64063e-06;-1.47656e-05;9.74820e-08;0.00293045;6.14427e+08;-3.19643e-07;-8.58714e-10;;0.00000;0.00000;8.28539e-10
qi-data-2022.04.20-09.44.26.389_0036.jpk-qi-series;36;2.10937e-06;-1.47656e-05;9.71971e-08;0.00300661;6.28356e+08;-3.20408e-07;-7.20860e-10;;0.00000;0.00000;7.04706e-10
qi-data-2022.04.20-09.44.26.389_0037.jpk-qi-series;37;2.57813e-06;-1.47656e-05;9.75586e-08;0.00294930;7.23543e+08;-3.19210e-07;-8.94312e-10;;0.00000;0.00000;8.37250e-10
qi-data-2022.04.20-09.44.26.389_0038.jpk-qi-series;38;3.04688e-06;-1.47656e-05;9.72089e-08;0.00300724;7.22217e+08;-3.16812e-07;-7.22040e-10;;0.00000;0.00000;7.18267e-10
qi-data-2022.04.20-09.44.26.389_0039.jpk-qi-series;39;3.51562e-06;-1.47656e-05;9.71411e-08;0.00302022;7.28036e+08;-3.20651e-07;-7.55669e-10;;0.00000;0.00000;7.17613e-10
qi-data-2022.04.20-09.44.26.389_0040.jpk-qi-series;40;3.98438e-06;-1.47656e-05;9.70723e-08;0.00301597;6.20324e+08;-3.17614e-07;-7.06235e-10;;0.00000;0.00000;7.31279e-10
qi-data-2022.04.20-09.44.26.389_0041.jpk-qi-series;41;4.45312e-06;-1.47656e-05;9.72817e-08;0.00295575;7.44779e+08;-3.20641e-07;-8.14000e-10;;0.00000;0.00000;8.12991e-10
qi-data-2022.04.20-09.44.26.389_0042.jpk-qi-series;42;4.92187e-06;-1.47656e-05;9.75579e-08;0.00286580;6.01808e+08;-3.23876e-07;-9.28573e-10;;0.00000;0.00000;9.03260e-10
qi-data-2022.04.20-09.44.26.389_0043.jpk-qi-series;43;5.39063e-06;-1.47656e-05;9.73068e-08;0.00296557;6.39567e+08;-3.22787e-07;-8.10274e-10;;0.00000;0.00000;7.88855e-10
qi-data-2022.04.20-09.44.26.389_0044.jpk-qi-series;44;5.85937e-06;-1.47656e-05;9.69441e-08;0.00305060;6.55734e+08;-3.20721e-07;-7.48086e-10;;0.00000;0.00000;7.46187e-10
qi-data-2022.04.20-09.44.26.389_0045.jpk-qi-series;45;6.32813e-06;-1.47656e-05;9.69886e-08;0.00300544;6.40913e+08;-3.20629e-07;-8.03827e-10;;0.00000;0.00000;7.55678e-10
qi-data-2022.04.20-09.44.26.389_0046.jpk-qi-series;46;6.79688e-06;-1.47656e-05;9.80530e-08;0.00271775;6.65852e+08;-3.23573e-07;-1.10921e-09;;0.00000;0.00000;9.97363e-10
qi-data-2022.04.20-09.44.26.389_0047.jpk-qi-series;47;7.26562e-06;-1.47656e-05;9.68601e-08;0.00306573;5.20320e+08;-3.23565e-07;-4.57524e-10;;0.00000;0.00000;4.66586e-10
qi-data-2022.04.20-09.44.26.389_0048.jpk-qi-series;48;7.73438e-06;-1.47656e-05;9.76027e-08;0.00286982;1.76555e+06;-1.47074e-07;-6.44857e-10;;0.00000;0.00000;8.64506e-10
qi-data-2022.04.20-09.44.26.389_0049.jpk-qi-series;49;8.20312e-06;-1.47656e-05;9.76494e-08;0.00288298;932796;4.33976e-08;-5.89317e-10;;0.00000;0.00000;7.81853e-10
qi-data-2022.04.20-09.44.26.389_0050.jpk-qi-series;50;8.67187e-06;-1.47656e-05;9.73696e-08;0.00291352;300781;4.31971e-07;-4.02971e-10;;0.00000;0.00000;7.40360e-10
qi-data-2022.04.20-09.44.26.389_0051.jpk-qi-series;51;9.14063e-06;-1.47656e-05;9.77632e-08;0.00286814;151951;8.58866e-07;-5.58453e-10;;0.00000;0.00000;6.52365e-10
qi-data-2022.04.20-09.44.26.389_0052.jpk-qi-series;52;9.60937e-06;-1.47656e-05;9.74579e-08;0.00294159;129048;1.12998e-06;-4.88683e-10;;0.00000;0.00000;4.32566e-10
qi-data-2022.04.20-09.44.26.389_0053.jpk-qi-series;53;1.00781e-05;-1.47656e-05;9.75024e-08;0.00291447;182513;1.14630e-06;-4.28488e-10;;0.00000;0.00000;4.34232e-10
