Filename;Position Index;X Position;Y Position;Baseline Offset [N];Baseline Slope [N/m];Young's Modulus [Pa];Contact Point [m];Baseline [N];Discontinuity Position;Discontinuity Width [m];Adhesion [N];ResidualRMS [N]
qi-data-2022.04.19-11.00.07.659_0000.jpk-qi-series;0;-1.47656e-05;-1.47656e-05;9.48035e-08;0.00298306;1.12760e+07;-1.86571e-07;5.19243e-11;;0.00000;0.00000;2.87190e-10
qi-data-2022.04.19-11.00.07.659_0001.jpk-qi-series;1;-1.42969e-05;-1.47656e-05;9.51449e-08;0.00301713;9.91729e+06;-1.86726e-07;-1.80889e-10;;0.00000;0.00000;1.59251e-10
qi-data-2022.04.19-11.00.07.659_0002.jpk-qi-series;2;-1.38281e-05;-1.47656e-05;9.52647e-08;0.00297268;1.11670e+07;-1.87740e-07;-2.74131e-10;;0.00000;0.00000;2.59314e-10
qi-data-2022.04.19-11.00.07.659_0003.jpk-qi-series;3;-1.33594e-05;-1.47656e-05;9.53340e-08;0.00293001;9.82594e+06;-1.89299e-07;-3.13124e-10;;0.00000;0.00000;2.83198e-10
qi-data-2022.04.19-11.00.07.659_0004.jpk-qi-series;4;-1.28906e-05;-1.47656e-05;9.54051e-08;0.00291432;9.66009e+06;-1.88579e-07;-3.68521e-10;;0.00000;0.00000;3.22840e-10
qi-data-2022.04.19-11.00.07.659_0005.jpk-qi-series;5;-1.24219e-05;-1.47656e-05;9.50683e-08;0.00297299;1.02681e+07;-1.90321e-07;-2.83701e-10;;0.00000;0.00000;2.55738e-10
qi-data-2022.04.19-11.00.07.659_0006.jpk-qi-series;6;-1.19531e-05;-1.47656e-05;9.53047e-08;0.00289795;8.94645e+06;-1.86894e-07;-4.23108e-10;;0.00000;0.00000;3.66517e-10
qi-data-2022.04.19-11.00.07.659_0007.jpk-qi-series;7;-1.14844e-05;-1.47656e-05;9.49404e-08;0.00295117;1.07145e+07;-1.87784e-07;-2.70218e-10;;0.00000;0.00000;2.52418e-10
qi-data-2022.04.19-11.00.07.659_0008.jpk-qi-series;8;-1.10156e-05;-1.47656e-05;9.47033e-08;0.00299285;9.95457e+06;-1.79296e-07;-2.05188e-10;;0.00000;0.00000;1.99059e-10
qi-data-2022.04.19-11.00.07.659_0009.jpk-qi-series;9;-1.05469e-05;-1.47656e-05;9.50568e-08;0.00291548;9.41021e+06;-1.79554e-07;-3.36151e-10;;0.00000;0.00000;3.09059e-10
qi-data-2022.04.19-11.00.07.659_0010.jpk-qi-series;10;-1.00781e-05;-1.47656e-05;9.43877e-08;0.00303011;1.02162e+07;-1.79592e-07;-1.39386e-10;;0.00000;0.00000;1.54709e-10
qi-data-2022.04.19-11.00.07.659_0011.jpk-qi-series;11;-9.60937e-06;-1.47656e-05;9.49153e-08;0.00290514;1.11325e+07;-1.78203e-07;-3.64327e-10;;0.00000;0.00000;3.21762e-10
qi-data-2022.04.19-11.00.07.659_0012.jpk-qi-series;12;-9.14063e-06;-1.47656e-05;9.44520e-08;0.00298135;9.47130e+06;-1.79458e-07;-1.91044e-10;;0.00000;0.00000;2.06542e-10
qi-data-2022.04.19-11.00.07.659_0013.jpk-qi-series;13;-8.67187e-06;-1.47656e-05;9.43661e-08;0.00298793;1.07724e+07;-1.82118e-07;-1.97648e-10;;0.00000;0.00000;1.82189e-10
qi-data-2022.04.19-11.00.07.659_0014.jpk-qi-series;14;-8.20313e-06;-1.47656e-05;9.46268e-08;0.00291591;1.01283e+07;-1.81499e-07;-2.24771e-10;;0.00000;0.00000;2.01810e-10
qi-data-2022.04.19-11.00.07.659_0015.jpk-qi-series;15;-7.73438e-06;-1.47656e-05;9.48155e-08;0.00285793;9.55085e+06;-1.78901e-07;1.41179e-10;;0.00000;0.00000;5.50623e-10
qi-data-2022.04.19-11.00.07.659_0016.jpk-qi-series;16;-7.26562e-06;-1.47656e-05;9.46541e-08;0.00286510;79206.0;1.28272e-06;1.86487e-10;;0.00000;0.00000;8.55855e-10
qi-data-2022.04.19-11.00.07.659_0017.jpk-qi-series;17;-6.79687e-06;-1.47656e-05;9.43401e-08;0.00294721;42856.5;1.78233e-06;2.14149e-10;;0.00000;0.00000;9.97408e-10
qi-data-2022.04.19-11.00.07.659_0018.jpk-qi-series;18;-6.32813e-06;-1.47656e-05;9.42519e-08;0.00294465;24245.2;2.82161e-06;7.73025e-11;;0.00000;0.00000;5.48472e-10
