Baseline 100%T,,sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
600.0294189,0.1574631482,600.0294189,-2.226136166E-5,
598.9921265,0.1571425796,598.9921265,0.0002073961223,
597.9544678,0.156780839,597.9544678,0.0002178073773,
597.0648804,0.1561978608,597.0648804,-5.963717558E-5,
596.0267334,0.1564789861,596.0267334,-0.0001389854151,
594.9883423,0.1563544869,594.9883423,0.0001833372371,
593.949646,0.1558788568,593.949646,0.0002554660896,
593.059082,0.1558824927,593.059082,0.0005248702946,
592.0198364,0.1559082121,592.0198364,0.0005082576536,
590.9803467,0.1558258235,590.9803467,0.0005009493325,
589.9405518,0.1552812159,589.9405518,0.0009040499572,
589.0491333,0.1554351002,589.0491333,0.0003487722424,
588.0087891,0.1549780071,588.0087891,0.001145098591,
586.9682007,0.1552262157,586.9682007,0.0007319987053,
585.9273682,0.1550717801,585.9273682,0.0005537430989,
585.0349731,0.154947862,585.0349731,0.0007182562258,
583.9935913,0.1546144336,583.9935913,0.0008121805149,
582.9519653,0.154330343,582.9519653,0.001002243604,
582.0588989,0.1541484892,582.0588989,0.00107596186,
581.0167847,0.1536486447,581.0167847,0.001384515315,
579.9743042,0.153508842,579.9743042,0.001447753515,
578.9316406,0.1533399671,578.9316406,0.00117050868,
578.0376587,0.1530117542,578.0376587,0.001258403994,
576.9944458,0.1525725275,576.9944458,0.001452610362,
575.9509888,0.1522435993,575.9509888,0.001522040926,
575.0563354,0.1516426057,575.0563354,0.001757143065,
574.0123291,0.1515042931,574.0123291,0.001606110134,
572.9680786,0.1509680897,572.9680786,0.001729229698,
572.0728149,0.1501736641,572.0728149,0.001831847359,
571.0280151,0.1501945406,571.0280151,0.001652074512,
569.9830322,0.1498766989,569.9830322,0.001650489401,
568.9376831,0.1491919458,568.9376831,0.00175846857,
568.0415039,0.148817867,568.0415039,0.001944161952,
566.9957275,0.1479291618,566.9957275,0.001947516226,
565.949646,0.1472438872,565.949646,0.001745967078,
565.0527954,0.1470608413,565.0527954,0.001721692854,
564.0062256,0.1465733647,564.0062256,0.001752022887,
562.9594116,0.1469139904,562.9594116,0.001994790975,
562.0618896,0.1457127631,562.0618896,0.001785240136,
561.0145874,0.145271644,561.0145874,0.001631677034,
559.96698,0.144810766,559.96698,0.001828909852,
559.0688477,0.1444470137,559.0688477,0.00149668823,
558.020813,0.1448964477,558.020813,0.001375452266,
556.9724121,0.1436201334,556.9724121,0.001731646713,
556.0736694,0.1439942271,556.0736694,0.001867358456,
555.0248413,0.1440367103,555.0248413,0.001317002112,
553.975708,0.1435684264,553.975708,0.001451779157,
552.9263916,0.1427802444,552.9263916,0.001537627308,
552.0267334,0.1425746679,552.0267334,0.001503727632,
550.9768677,0.1426727027,550.9768677,0.001537341508,
549.9267578,0.1428593397,549.9267578,0.001507572015,
549.0264893,0.1428321153,549.0264893,0.001613670844,
547.9758911,0.1426274776,547.9758911,0.001601901022,
546.9250488,0.1421282738,546.9250488,0.001915430534,
546.0241089,0.1425643563,546.0241089,0.001655322616,
544.9728394,0.1434947252,544.9728394,0.001250719535,
544.0714722,0.1434713751,544.0714722,0.001763874781,
543.0196533,0.1446494758,543.0196533,0.002161724027,
541.9676514,0.144718796,541.9676514,0.002350270748,
541.0656738,0.1424223632,541.0656738,0.002830124693,
540.0131226,0.1435699761,540.0131226,0.00291528157,
538.9603271,0.1449593604,538.9603271,0.003005433595,
538.0577393,0.1456600577,538.0577393,0.00373251969,
537.0045166,0.1464879364,537.0045166,0.00435732305,
535.9509888,0.1461432427,535.9509888,0.004881415982,
535.0477905,0.1483349353,535.0477905,0.005655262619,
533.9937744,0.1491517276,533.9937744,0.006509392988,
532.9395752,0.1470029503,532.9395752,0.00759179797,
532.0357666,0.148704946,532.0357666,0.008693043143,
530.9810181,0.1509634256,530.9810181,0.01128223166,
529.9260864,0.1523600966,529.9260864,0.01337161008,
529.0216675,0.1514832079,529.0216675,0.015346881,
527.9662476,0.1508425474,527.9662476,0.01868277788,
527.0614014,0.1511299461,527.0614014,0.02226517349,
526.0054932,0.1521073729,526.0054932,0.02825246379,
524.9494019,0.1522226185,524.9494019,0.0364513658,
524.0439453,0.1532176137,524.0439453,0.04497662187,
522.9873657,0.1538442969,522.9873657,0.05814658105,
521.930542,0.154440552,521.930542,0.07286419719,
521.0244751,0.1548273116,521.0244751,0.08937536925,
519.9671631,0.1555122733,519.9671631,0.1159114763,
519.06073,0.1555398554,519.06073,0.1430392563,
518.0029907,0.1554210633,518.0029907,0.177692309,
516.9450073,0.1560781151,516.9450073,0.2200037092,
516.0379639,0.1563248038,516.0379639,0.2536674738,
514.9794922,0.1567395031,514.9794922,0.3009025455,
514.0720825,0.1570856422,514.0720825,0.3523211479,
513.0131836,0.1571925879,513.0131836,0.4047060013,
511.9540405,0.1572308689,511.9540405,0.4548978806,
511.0460205,0.1573187411,511.0460205,0.4883491695,
509.9864197,0.1573869735,509.9864197,0.5234232545,
508.9266052,0.1573108882,508.9266052,0.5501337647,
