 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,340,8943.1328,3174.0110,2755,15308,340,5156.2441,3662.1497,1563,15308
2,340,8780.9707,3148.0063,2824,15305,340,3870.2676,1107.3550,1533,7303
3,340,8893.8115,3220.8103,2880,15303,340,3940.8472,1137.0410,1469,7667
4,340,8820.0908,3220.9763,3006,15302,340,3882.6707,1113.0283,1539,7557
5,340,8812.5674,3205.4404,3210,15304,340,3924.3735,1134.4098,1583,7739
6,340,8743.6562,3184.9851,3046,15302,340,3913.5117,1143.8568,1631,7314
7,340,8714.4414,3197.8062,2532,15302,340,3899.8264,1134.0876,1552,7687
8,340,8748.5293,3225.9546,2394,15301,340,3881.4265,1122.6571,1488,7859
9,340,8765.7148,3196.4326,2905,15301,340,3877.7617,1133.9325,1587,6743
10,340,9689.0176,3456.7871,3051,15301,340,4454.5264,1363.0028,1741,8748
11,340,10603.4238,3362.3162,3775,15301,340,5254.1470,1671.6050,1879,10811
12,340,10500.9854,3351.4875,3112,15300,340,5577.0586,1826.7659,2188,10705
13,340,10322.5352,3288.3782,3269,15301,340,5763.5557,2013.6680,1771,12117
14,340,10129.0322,3277.6030,3034,15300,340,6028.7529,2075.7708,1856,11670
15,340,9831.7676,3226.1064,3432,15300,340,6096.7471,2153.8989,2033,12230
16,340,9689.7178,3130.3569,2865,15301,340,6349.3530,2259.7351,2046,12986
17,340,9392.5557,3112.4443,3126,15301,340,6368.5557,2313.6816,1862,12527
18,340,9338.6650,3071.5693,2997,15301,340,6593.9854,2456.8896,1931,14233
19,340,9023.8086,3006.4133,2938,15301,340,6540.3413,2401.7661,1586,13438
20,340,8972.3203,3036.6736,2427,15301,340,6510.4883,2349.5706,1979,13522
21,340,8736.6855,2952.7957,2479,15301,340,6292.9941,2292.3625,1697,12888
22,340,8842.2998,2941.7366,2702,15301,340,6451.7881,2341.2671,2313,13408
23,340,8591.9385,2916.7791,3023,15301,340,6235.1353,2296.0894,1851,13864
24,340,8712.0059,3004.1421,2595,15301,340,6307.1675,2316.8379,2007,13525
25,340,8553.0322,2927.2039,2276,15302,340,6163.6440,2319.1792,1654,13599
26,340,8586.4033,2960.7390,2697,15301,340,6260.6792,2383.2974,1682,13915
