Baseline 100%T,,sample1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
649.9298706,0.1197943762,649.9298706,0.001387371798,
649.0532227,0.1199608892,649.0532227,0.001069630031,
648.0302124,0.1199972332,648.0302124,0.0008943225839,
647.0068359,0.1202232614,647.0068359,0.001087717479,
645.9831543,0.1198218316,645.9831543,0.001353977248,
644.9592285,0.1199577823,644.9592285,0.001416120213,
643.9349365,0.1201424152,643.9349365,0.001371089718,
643.0567627,0.1200848371,643.0567627,0.001369999023,
642.0319214,0.1201616004,642.0319214,0.001294257701,
641.0068359,0.1201953292,641.0068359,0.001332477201,
639.9813843,0.1202856749,639.9813843,0.001000790624,
638.9556274,0.1199033335,638.9556274,0.001305422047,
637.9296265,0.1200911477,637.9296265,0.001308355946,
637.0499268,0.120232515,637.0499268,0.0009495769045,
636.0233154,0.1200459972,636.0233154,0.001264141407,
634.9963989,0.1201106086,634.9963989,0.001164538786,
633.9692383,0.1201421097,633.9692383,0.001073963707,
632.9417114,0.1200671867,632.9417114,0.001184005872,
632.060791,0.1200007424,632.060791,0.001321883406,
631.0327148,0.1182780862,631.0327148,0.001213831129,
630.0043945,0.1181683466,630.0043945,0.00117590744,
628.975708,0.1182958633,628.975708,0.001203655498,
627.9467773,0.1181935295,627.9467773,0.001178762643,
627.0645752,0.1181520745,627.0645752,0.001288052532,
626.0350952,0.1182351559,626.0350952,0.00132315571,
625.0053101,0.1180328503,625.0053101,0.001536614145,
623.9752197,0.118283011,623.9752197,0.001283820602,
622.9448853,0.1204547659,622.9448853,0.0008628593641,
622.0614624,0.1200760603,622.0614624,0.001255626092,
621.0305176,0.1198330224,621.0305176,0.001488635899,
619.9993286,0.1200929582,619.9993286,0.001117224572,
618.9677734,0.1201625615,618.9677734,0.001305032521,
617.9359741,0.1185504273,617.9359741,0.0009226752445,
617.0513306,0.1184364036,617.0513306,0.0009028307977,
616.019043,0.1183232591,616.019043,0.001144968788,
614.9863892,0.1181651503,614.9863892,0.001234364696,
613.9534302,0.117988795,613.9534302,0.001234702184,
613.0678711,0.1180707961,613.0678711,0.00120041077,
612.0344238,0.1180511266,612.0344238,0.00108234561,
611.0006714,0.1177986264,611.0006714,0.001375218621,
609.9666138,0.1178394333,609.9666138,0.001260506804,
608.932251,0.1177465469,608.932251,0.001293115318,
608.0454712,0.1178556979,608.0454712,0.001203240128,
607.0106201,0.1176382676,607.0106201,0.001167134382,
605.9754639,0.1175973043,605.9754639,0.001328530489,
604.9400635,0.1175564155,604.9400635,0.001398720313,
604.0523071,0.1174962893,604.0523071,0.001380256377,
603.0163574,0.1174620911,603.0163574,0.001392201986,
601.9801025,0.1173329204,601.9801025,0.001432767604,
600.9435425,0.1173522845,600.9435425,0.001340163057,
600.0548706,0.1172836795,600.0548706,0.001276109833,
599.0178223,0.1168084592,599.0178223,0.001594522386,
597.9804688,0.1167420745,597.9804688,0.001476064324,
596.9428711,0.1166004911,596.9428711,0.001519209472,
596.0532227,0.1164880618,596.0532227,0.001652698149,
595.0150757,0.1164895818,595.0150757,0.001441649976,
593.9766846,0.1164614558,593.9766846,0.001420535264,
592.9379272,0.1161523685,592.9379272,0.001831847359,
592.0474243,0.1160639673,592.0474243,0.001662884257,
591.0081787,0.1158968061,591.0081787,0.001691443031,
589.968689,0.1156518012,589.968689,0.001873909961,
588.928894,0.1156294718,588.928894,0.0019350613,
588.0374146,0.1152851284,588.0374146,0.002193047432,
586.9971313,0.1151871085,586.9971313,0.001953912899,
585.956543,0.1147907451,585.956543,0.002447802573,
585.0643921,0.1145958379,585.0643921,0.002423905768,
584.0233154,0.1140676066,584.0233154,0.003065493191,
582.9819336,0.1140528917,582.9819336,0.002970142057,
581.9403076,0.1136693731,581.9403076,0.003306623083,
581.0472412,0.113804251,581.0472412,0.003244078718,
580.0050659,0.1133817211,580.0050659,0.003741083667,
578.9626465,0.1130622253,578.9626465,0.004003045149,
578.0689087,0.1127655134,578.0689087,0.004363284446,
577.026001,0.1124253124,577.026001,0.004889190663,
575.9827881,0.1119988635,575.9827881,0.005179351661,
574.9393311,0.1116893515,574.9393311,0.005896313116,
574.0446777,0.1113791615,574.0446777,0.006544526666,
573.0007324,0.1110335886,573.0007324,0.007033775561,
571.9564819,0.110474214,571.9564819,0.007813183591,
571.0611572,0.1102614403,571.0611572,0.008400578983,
570.0164185,0.1095566228,570.0164185,0.009106043726,
